1. Using architecture PEs=4, L1=16, L2=128
    4. Model googlenet with 59 layers: 7.865e+00
    5. Model dlrmRMC1_m with 6 layers: 7.848e+00
    6. Model alexnet with 5 layers: 7.720e+00
    7. Model transformer with 96 layers: 7.535e+00
    8. Model resnet50 with 53 layers: 7.799e+00
    9. Model wide_resnet50 with 53 layers: 7.902e+00
    10. Model manual with 3 layers: 5.833e+00
    11. Model shufflenet_v2 with 56 layers: 7.692e+00
    12. Model squeezenet with 26 layers: 8.270e+00
    13. Model try with 3 layers: 7.999e+00
    14. Model resnet18 with 20 layers: 7.383e+00
    15. Model vgg16 with 13 layers: 7.846e+00
    16. Model densenet with 160 layers: 7.917e+00
    17. Model T5_m with 6 layers: 5.776e+00
    18. Model resnext50_32x4d with 53 layers: 7.908e+00
    19. Model BERT_m with 6 layers: 6.833e+00
    20. Model ALBERT_m with 5 layers: 8.000e+00

Final result with all models and fixed hardware = 7.782396420838974

52. Using architecture PEs=16, L1=64, L2=256
    1. Model mnasnet with 52 layers: 9.054e+00
    2. Model ncf_m with 12 layers: 7.990e+00
    3. Model mobilenet_v2 with 52 layers: 9.488e+00
    4. Model googlenet with 59 layers: 9.955e+00
    5. Model dlrmRMC1_m with 6 layers: 8.187e+00
    6. Model alexnet with 5 layers: 9.752e+00
    7. Model transformer with 96 layers: 7.832e+00
    8. Model resnet50 with 53 layers: 8.936e+00
    9. Model wide_resnet50 with 53 layers: 8.605e+00
    10. Model manual with 3 layers: 8.444e+00
    11. Model shufflenet_v2 with 56 layers: 8.839e+00
    12. Model squeezenet with 26 layers: 9.331e+00
    13. Model try with 3 layers: 9.398e+00
    14. Model resnet18 with 20 layers: 9.584e+00
    15. Model vgg16 with 13 layers: 9.307e+00
    16. Model densenet with 160 layers: 9.621e+00
    17. Model T5_m with 6 layers: 8.591e+00
    18. Model resnext50_32x4d with 53 layers: 9.222e+00
    19. Model BERT_m with 6 layers: 8.000e+00
    20. Model ALBERT_m with 5 layers: 8.992e+00

Final result with all models and fixed hardware = 9.070883221921516

53. Using architecture PEs=16, L1=64, L2=512
    1. Model mnasnet with 52 layers: 1.115e+01
    2. Model ncf_m with 12 layers: 8.945e+00
    3. Model mobilenet_v2 with 52 layers: 1.014e+01
    4. Model googlenet with 59 layers: 1.145e+01
    5. Model dlrmRMC1_m with 6 layers: 7.556e+00
    6. Model alexnet with 5 layers: 1.068e+01
    7. Model transformer with 96 layers: 8.807e+00
    8. Model resnet50 with 53 layers: 1.141e+01
    9. Model wide_resnet50 with 53 layers: 1.120e+01
    10. Model manual with 3 layers: 7.667e+00
    11. Model shufflenet_v2 with 56 layers: 1.061e+01
    12. Model squeezenet with 26 layers: 1.166e+01
    13. Model try with 3 layers: 9.722e+00
    14. Model resnet18 with 20 layers: 1.120e+01
    15. Model vgg16 with 13 layers: 1.220e+01
    16. Model densenet with 160 layers: 1.159e+01
    17. Model T5_m with 6 layers: 7.040e+00
    18. Model resnext50_32x4d with 53 layers: 1.145e+01
    19. Model BERT_m with 6 layers: 9.202e+00
    20. Model ALBERT_m with 5 layers: 6.600e+00

Final result with all models and fixed hardware = 10.76586205548038

54. Using architecture PEs=16, L1=64, L2=1024
    1. Model mnasnet with 52 layers: 1.163e+01
    2. Model ncf_m with 12 layers: 9.342e+00
    3. Model mobilenet_v2 with 52 layers: 1.248e+01
    4. Model googlenet with 59 layers: 1.202e+01
    5. Model dlrmRMC1_m with 6 layers: 1.329e+01
    6. Model alexnet with 5 layers: 1.243e+01
    7. Model transformer with 96 layers: 1.014e+01
    8. Model resnet50 with 53 layers: 1.234e+01
    9. Model wide_resnet50 with 53 layers: 1.204e+01
    10. Model manual with 3 layers: 1.035e+01
    11. Model shufflenet_v2 with 56 layers: 1.225e+01
    12. Model squeezenet with 26 layers: 1.266e+01
    13. Model try with 3 layers: 1.194e+01
    14. Model resnet18 with 20 layers: 1.280e+01
    15. Model vgg16 with 13 layers: 1.331e+01
    16. Model densenet with 160 layers: 1.220e+01
    17. Model T5_m with 6 layers: 9.837e+00
    18. Model resnext50_32x4d with 53 layers: 1.242e+01
    19. Model BERT_m with 6 layers: 1.100e+01
    20. Model ALBERT_m with 5 layers: 1.076e+01

Final result with all models and fixed hardware = 11.885713270635993

55. Using architecture PEs=16, L1=64, L2=2048
    1. Model mnasnet with 52 layers: 1.308e+01
    2. Model ncf_m with 12 layers: 1.131e+01
    3. Model mobilenet_v2 with 52 layers: 1.318e+01
    4. Model googlenet with 59 layers: 1.320e+01
    5. Model dlrmRMC1_m with 6 layers: 9.199e+00
    6. Model alexnet with 5 layers: 1.404e+01
    7. Model transformer with 96 layers: 1.179e+01
    8. Model resnet50 with 53 layers: 1.292e+01
    9. Model wide_resnet50 with 53 layers: 1.302e+01
    10. Model manual with 3 layers: 1.303e+01
    11. Model shufflenet_v2 with 56 layers: 1.203e+01
    12. Model squeezenet with 26 layers: 1.399e+01
    13. Model try with 3 layers: 1.351e+01
    14. Model resnet18 with 20 layers: 1.306e+01
    15. Model vgg16 with 13 layers: 1.383e+01
    16. Model densenet with 160 layers: 1.296e+01
    17. Model T5_m with 6 layers: 1.141e+01
    18. Model resnext50_32x4d with 53 layers: 1.255e+01
    19. Model BERT_m with 6 layers: 1.055e+01
    20. Model ALBERT_m with 5 layers: 1.165e+01

Final result with all models and fixed hardware = 12.717002771312584

56. Using architecture PEs=16, L1=128, L2=128
    1. Model mnasnet with 52 layers: 7.447e+00
    2. Model ncf_m with 12 layers: 6.539e+00
    3. Model mobilenet_v2 with 52 layers: 7.947e+00
    4. Model googlenet with 59 layers: 7.887e+00
    5. Model dlrmRMC1_m with 6 layers: 7.848e+00
    6. Model alexnet with 5 layers: 7.700e+00
    7. Model transformer with 96 layers: 7.802e+00
    8. Model resnet50 with 53 layers: 7.754e+00
    9. Model wide_resnet50 with 53 layers: 7.987e+00
    10. Model manual with 3 layers: 4.667e+00
    11. Model shufflenet_v2 with 56 layers: 7.664e+00
    12. Model squeezenet with 26 layers: 8.073e+00
    13. Model try with 3 layers: 7.999e+00
    14. Model resnet18 with 20 layers: 8.138e+00
    15. Model vgg16 with 13 layers: 8.041e+00
    16. Model densenet with 160 layers: 7.784e+00
    17. Model T5_m with 6 layers: 8.000e+00
    18. Model resnext50_32x4d with 53 layers: 7.901e+00
    19. Model BERT_m with 6 layers: 8.000e+00
    20. Model ALBERT_m with 5 layers: 8.107e+00

Final result with all models and fixed hardware = 7.792024315290934

57. Using architecture PEs=16, L1=128, L2=256
    1. Model mnasnet with 52 layers: 9.068e+00
    2. Model ncf_m with 12 layers: 6.154e+00
    3. Model mobilenet_v2 with 52 layers: 9.091e+00
    4. Model googlenet with 59 layers: 9.344e+00
    5. Model dlrmRMC1_m with 6 layers: 8.943e+00
    6. Model alexnet with 5 layers: 8.819e+00
    7. Model transformer with 96 layers: 8.003e+00
    8. Model resnet50 with 53 layers: 9.172e+00
    9. Model wide_resnet50 with 53 layers: 9.193e+00
    10. Model manual with 3 layers: 8.772e+00
    11. Model shufflenet_v2 with 56 layers: 8.946e+00
    12. Model squeezenet with 26 layers: 9.725e+00
    13. Model try with 3 layers: 8.888e+00
    14. Model resnet18 with 20 layers: 8.807e+00
    15. Model vgg16 with 13 layers: 8.819e+00
    16. Model densenet with 160 layers: 9.598e+00
    17. Model T5_m with 6 layers: 8.444e+00
    18. Model resnext50_32x4d with 53 layers: 8.639e+00
    19. Model BERT_m with 6 layers: 8.800e+00
    20. Model ALBERT_m with 5 layers: 8.000e+00

Final result with all models and fixed hardware = 8.989761480378888

58. Using architecture PEs=16, L1=128, L2=512
    1. Model mnasnet with 52 layers: 1.093e+01
    2. Model ncf_m with 12 layers: 8.162e+00
    3. Model mobilenet_v2 with 52 layers: 1.052e+01
    4. Model googlenet with 59 layers: 1.118e+01
    5. Model dlrmRMC1_m with 6 layers: 8.182e+00
    6. Model alexnet with 5 layers: 1.264e+01
    7. Model transformer with 96 layers: 8.717e+00
    8. Model resnet50 with 53 layers: 1.068e+01
    9. Model wide_resnet50 with 53 layers: 1.123e+01
    10. Model manual with 3 layers: 1.375e+01
    11. Model shufflenet_v2 with 56 layers: 1.094e+01
    12. Model squeezenet with 26 layers: 1.173e+01
    13. Model try with 3 layers: 1.083e+01
    14. Model resnet18 with 20 layers: 1.151e+01
    15. Model vgg16 with 13 layers: 1.166e+01
    16. Model densenet with 160 layers: 1.118e+01
    17. Model T5_m with 6 layers: 9.103e+00
    18. Model resnext50_32x4d with 53 layers: 1.057e+01
    19. Model BERT_m with 6 layers: 1.029e+01
    20. Model ALBERT_m with 5 layers: 9.368e+00

Final result with all models and fixed hardware = 10.649197849797023

59. Using architecture PEs=16, L1=128, L2=1024
    1. Model mnasnet with 52 layers: 1.245e+01
    2. Model ncf_m with 12 layers: 1.081e+01
    3. Model mobilenet_v2 with 52 layers: 1.253e+01
    4. Model googlenet with 59 layers: 1.262e+01
    5. Model dlrmRMC1_m with 6 layers: 1.149e+01
    6. Model alexnet with 5 layers: 9.943e+00
    7. Model transformer with 96 layers: 1.022e+01
    8. Model resnet50 with 53 layers: 1.207e+01
    9. Model wide_resnet50 with 53 layers: 1.194e+01
    10. Model manual with 3 layers: 8.733e+00
    11. Model shufflenet_v2 with 56 layers: 1.170e+01
    12. Model squeezenet with 26 layers: 1.227e+01
    13. Model try with 3 layers: 8.726e+00
    14. Model resnet18 with 20 layers: 1.304e+01
    15. Model vgg16 with 13 layers: 1.231e+01
    16. Model densenet with 160 layers: 1.216e+01
    17. Model T5_m with 6 layers: 9.662e+00
    18. Model resnext50_32x4d with 53 layers: 1.184e+01
    19. Model BERT_m with 6 layers: 9.826e+00
    20. Model ALBERT_m with 5 layers: 1.067e+01

Final result with all models and fixed hardware = 11.822331691474966

60. Using architecture PEs=16, L1=128, L2=2048
    1. Model mnasnet with 52 layers: 1.256e+01
    2. Model ncf_m with 12 layers: 9.961e+00
    3. Model mobilenet_v2 with 52 layers: 1.250e+01
    4. Model googlenet with 59 layers: 1.301e+01
    5. Model dlrmRMC1_m with 6 layers: 9.118e+00
    6. Model alexnet with 5 layers: 1.477e+01
    7. Model transformer with 96 layers: 1.103e+01
    8. Model resnet50 with 53 layers: 1.341e+01
    9. Model wide_resnet50 with 53 layers: 1.322e+01
    10. Model manual with 3 layers: 1.437e+01
    11. Model shufflenet_v2 with 56 layers: 1.236e+01
    12. Model squeezenet with 26 layers: 1.399e+01
    13. Model try with 3 layers: 1.192e+01
    14. Model resnet18 with 20 layers: 1.234e+01
    15. Model vgg16 with 13 layers: 1.302e+01
    16. Model densenet with 160 layers: 1.269e+01
    17. Model T5_m with 6 layers: 1.037e+01
    18. Model resnext50_32x4d with 53 layers: 1.286e+01
    19. Model BERT_m with 6 layers: 1.077e+01
    20. Model ALBERT_m with 5 layers: 1.221e+01

Final result with all models and fixed hardware = 12.503878535859268

61. Using architecture PEs=32, L1=16, L2=128
    1. Model mnasnet with 52 layers: 7.881e+00
    2. Model ncf_m with 12 layers: 1.909e+00
    3. Model mobilenet_v2 with 52 layers: 8.771e+00
    4. Model googlenet with 59 layers: 8.506e+00
    5. Model dlrmRMC1_m with 6 layers: 3.731e+00
    6. Model alexnet with 5 layers: 8.248e+00
    7. Model transformer with 96 layers: 2.718e+00
    8. Model resnet50 with 53 layers: 7.806e+00
    9. Model wide_resnet50 with 53 layers: 8.339e+00
    10. Model manual with 3 layers: 5.897e+00
    11. Model shufflenet_v2 with 56 layers: 7.847e+00
    12. Model squeezenet with 26 layers: 9.793e+00
    13. Model try with 3 layers: 3.814e+00
    14. Model resnet18 with 20 layers: 6.574e+00
    15. Model vgg16 with 13 layers: 7.250e+00
    16. Model densenet with 160 layers: 7.589e+00
    17. Model T5_m with 6 layers: 1.077e+00
    18. Model resnext50_32x4d with 53 layers: 7.255e+00
    19. Model BERT_m with 6 layers: 1.576e+00
    20. Model ALBERT_m with 5 layers: 3.960e+00

Final result with all models and fixed hardware = 6.974585525033829

62. Using architecture PEs=32, L1=16, L2=256
    1. Model mnasnet with 52 layers: 1.464e+01
    2. Model ncf_m with 12 layers: 1.478e+01
    3. Model mobilenet_v2 with 52 layers: 1.474e+01
    4. Model googlenet with 59 layers: 1.421e+01
    5. Model dlrmRMC1_m with 6 layers: 1.563e+01
    6. Model alexnet with 5 layers: 1.079e+01
    7. Model transformer with 96 layers: 1.520e+01
    8. Model resnet50 with 53 layers: 1.520e+01
    9. Model wide_resnet50 with 53 layers: 1.454e+01
    10. Model manual with 3 layers: 1.600e+01
    11. Model shufflenet_v2 with 56 layers: 1.454e+01
    12. Model squeezenet with 26 layers: 1.476e+01
    13. Model try with 3 layers: 1.377e+01
    14. Model resnet18 with 20 layers: 1.575e+01
    15. Model vgg16 with 13 layers: 1.491e+01
    16. Model densenet with 160 layers: 1.421e+01
    17. Model T5_m with 6 layers: 1.600e+01
    18. Model resnext50_32x4d with 53 layers: 1.437e+01
    19. Model BERT_m with 6 layers: 1.124e+01
    20. Model ALBERT_m with 5 layers: 1.600e+01

Final result with all models and fixed hardware = 14.616643537212447

63. Using architecture PEs=32, L1=16, L2=512
    1. Model mnasnet with 52 layers: 1.697e+01
    2. Model ncf_m with 12 layers: 1.566e+01
    3. Model mobilenet_v2 with 52 layers: 1.772e+01
    4. Model googlenet with 59 layers: 1.825e+01
    5. Model dlrmRMC1_m with 6 layers: 1.473e+01
    6. Model alexnet with 5 layers: 1.741e+01
    7. Model transformer with 96 layers: 1.595e+01
    8. Model resnet50 with 53 layers: 1.822e+01
    9. Model wide_resnet50 with 53 layers: 1.868e+01
    10. Model manual with 3 layers: 1.600e+01
    11. Model shufflenet_v2 with 56 layers: 1.758e+01
    12. Model squeezenet with 26 layers: 1.847e+01
    13. Model try with 3 layers: 1.873e+01
    14. Model resnet18 with 20 layers: 1.880e+01
    15. Model vgg16 with 13 layers: 1.495e+01
    16. Model densenet with 160 layers: 1.737e+01
    17. Model T5_m with 6 layers: 1.740e+01
    18. Model resnext50_32x4d with 53 layers: 1.845e+01
    19. Model BERT_m with 6 layers: 1.766e+01
    20. Model ALBERT_m with 5 layers: 1.769e+01

Final result with all models and fixed hardware = 17.492089212449255

64. Using architecture PEs=32, L1=16, L2=1024
    1. Model mnasnet with 52 layers: 2.016e+01
    2. Model ncf_m with 12 layers: 1.670e+01
    3. Model mobilenet_v2 with 52 layers: 2.130e+01
    4. Model googlenet with 59 layers: 1.963e+01
    5. Model dlrmRMC1_m with 6 layers: 1.845e+01
    6. Model alexnet with 5 layers: 1.982e+01
    7. Model transformer with 96 layers: 1.719e+01
    8. Model resnet50 with 53 layers: 2.199e+01
    9. Model wide_resnet50 with 53 layers: 2.170e+01
    10. Model manual with 3 layers: 2.457e+01
    11. Model shufflenet_v2 with 56 layers: 2.011e+01
    12. Model squeezenet with 26 layers: 2.171e+01
    13. Model try with 3 layers: 2.075e+01
    14. Model resnet18 with 20 layers: 2.130e+01
    15. Model vgg16 with 13 layers: 2.181e+01
    16. Model densenet with 160 layers: 2.102e+01
    17. Model T5_m with 6 layers: 1.955e+01
    18. Model resnext50_32x4d with 53 layers: 2.220e+01
    19. Model BERT_m with 6 layers: 1.881e+01
    20. Model ALBERT_m with 5 layers: 1.956e+01

Final result with all models and fixed hardware = 20.425440067659

65. Using architecture PEs=32, L1=16, L2=2048
    1. Model mnasnet with 52 layers: 2.304e+01
    2. Model ncf_m with 12 layers: 1.733e+01
    3. Model mobilenet_v2 with 52 layers: 2.291e+01
    4. Model googlenet with 59 layers: 2.335e+01
    5. Model dlrmRMC1_m with 6 layers: 1.942e+01
    6. Model alexnet with 5 layers: 2.406e+01
    7. Model transformer with 96 layers: 1.947e+01
    8. Model resnet50 with 53 layers: 2.328e+01
    9. Model wide_resnet50 with 53 layers: 2.310e+01
    10. Model manual with 3 layers: 2.351e+01
    11. Model shufflenet_v2 with 56 layers: 2.209e+01
    12. Model squeezenet with 26 layers: 2.285e+01
    13. Model try with 3 layers: 2.615e+01
    14. Model resnet18 with 20 layers: 2.539e+01
    15. Model vgg16 with 13 layers: 2.347e+01
    16. Model densenet with 160 layers: 2.168e+01
    17. Model T5_m with 6 layers: 2.440e+01
    18. Model resnext50_32x4d with 53 layers: 2.370e+01
    19. Model BERT_m with 6 layers: 1.984e+01
    20. Model ALBERT_m with 5 layers: 2.048e+01

Final result with all models and fixed hardware = 22.225587265223275

66. Using architecture PEs=32, L1=32, L2=128
    1. Model mnasnet with 52 layers: 7.786e+00
    2. Model ncf_m with 12 layers: 3.913e+00
    3. Model mobilenet_v2 with 52 layers: 7.620e+00
    4. Model googlenet with 59 layers: 8.703e+00
    5. Model dlrmRMC1_m with 6 layers: 4.096e+00
    6. Model alexnet with 5 layers: 7.454e+00
    7. Model transformer with 96 layers: 2.772e+00
    8. Model resnet50 with 53 layers: 7.651e+00
    9. Model wide_resnet50 with 53 layers: 8.050e+00
    10. Model manual with 3 layers: 3.367e+00
    11. Model shufflenet_v2 with 56 layers: 8.233e+00
    12. Model squeezenet with 26 layers: 9.410e+00
    13. Model try with 3 layers: 3.655e+00
    14. Model resnet18 with 20 layers: 6.953e+00
    15. Model vgg16 with 13 layers: 6.873e+00
    16. Model densenet with 160 layers: 8.150e+00
    17. Model T5_m with 6 layers: 4.245e+00
    18. Model resnext50_32x4d with 53 layers: 9.148e+00
    19. Model BERT_m with 6 layers: 3.276e+00
    20. Model ALBERT_m with 5 layers: 6.062e+00

Final result with all models and fixed hardware = 7.227433503382949

67. Using architecture PEs=32, L1=32, L2=256
    1. Model mnasnet with 52 layers: 1.431e+01
    2. Model ncf_m with 12 layers: 1.306e+01
    3. Model mobilenet_v2 with 52 layers: 1.539e+01
    4. Model googlenet with 59 layers: 1.564e+01
    5. Model dlrmRMC1_m with 6 layers: 1.386e+01
    6. Model alexnet with 5 layers: 1.724e+01
    7. Model transformer with 96 layers: 1.542e+01
    8. Model resnet50 with 53 layers: 1.566e+01
    9. Model wide_resnet50 with 53 layers: 1.533e+01
    10. Model manual with 3 layers: 1.923e+01
    11. Model shufflenet_v2 with 56 layers: 1.398e+01
    12. Model squeezenet with 26 layers: 1.557e+01
    13. Model try with 3 layers: 1.533e+01
    14. Model resnet18 with 20 layers: 1.551e+01
    15. Model vgg16 with 13 layers: 1.508e+01
    16. Model densenet with 160 layers: 1.488e+01
    17. Model T5_m with 6 layers: 1.600e+01
    18. Model resnext50_32x4d with 53 layers: 1.560e+01
    19. Model BERT_m with 6 layers: 1.577e+01
    20. Model ALBERT_m with 5 layers: 1.600e+01

Final result with all models and fixed hardware = 15.145167686062244

68. Using architecture PEs=32, L1=32, L2=512
    1. Model mnasnet with 52 layers: 1.774e+01
    2. Model ncf_m with 12 layers: 1.731e+01
    3. Model mobilenet_v2 with 52 layers: 1.828e+01
    4. Model googlenet with 59 layers: 1.793e+01
    5. Model dlrmRMC1_m with 6 layers: 1.400e+01
    6. Model alexnet with 5 layers: 2.188e+01
    7. Model transformer with 96 layers: 1.557e+01
    8. Model resnet50 with 53 layers: 1.844e+01
    9. Model wide_resnet50 with 53 layers: 1.651e+01
    10. Model manual with 3 layers: 2.098e+01
    11. Model shufflenet_v2 with 56 layers: 1.603e+01
    12. Model squeezenet with 26 layers: 1.921e+01
    13. Model try with 3 layers: 1.453e+01
    14. Model resnet18 with 20 layers: 1.819e+01
    15. Model vgg16 with 13 layers: 1.585e+01
    16. Model densenet with 160 layers: 1.703e+01
    17. Model T5_m with 6 layers: 1.693e+01
    18. Model resnext50_32x4d with 53 layers: 1.853e+01
    19. Model BERT_m with 6 layers: 1.277e+01
    20. Model ALBERT_m with 5 layers: 1.901e+01

Final result with all models and fixed hardware = 17.22998213667118

69. Using architecture PEs=32, L1=32, L2=1024
    1. Model mnasnet with 52 layers: 2.054e+01
    2. Model ncf_m with 12 layers: 2.032e+01
    3. Model mobilenet_v2 with 52 layers: 2.194e+01
    4. Model googlenet with 59 layers: 2.143e+01
    5. Model dlrmRMC1_m with 6 layers: 1.491e+01
    6. Model alexnet with 5 layers: 1.642e+01
    7. Model transformer with 96 layers: 1.666e+01
    8. Model resnet50 with 53 layers: 2.224e+01
    9. Model wide_resnet50 with 53 layers: 2.217e+01
    10. Model manual with 3 layers: 1.832e+01
    11. Model shufflenet_v2 with 56 layers: 2.126e+01
    12. Model squeezenet with 26 layers: 2.192e+01
    13. Model try with 3 layers: 2.181e+01
    14. Model resnet18 with 20 layers: 2.308e+01
    15. Model vgg16 with 13 layers: 2.101e+01
    16. Model densenet with 160 layers: 2.143e+01
    17. Model T5_m with 6 layers: 1.826e+01
    18. Model resnext50_32x4d with 53 layers: 2.230e+01
    19. Model BERT_m with 6 layers: 1.790e+01
    20. Model ALBERT_m with 5 layers: 1.600e+01

Final result with all models and fixed hardware = 20.79182721109607

70. Using architecture PEs=32, L1=32, L2=2048
    1. Model mnasnet with 52 layers: 2.245e+01
    2. Model ncf_m with 12 layers: 1.782e+01
    3. Model mobilenet_v2 with 52 layers: 2.396e+01
    4. Model googlenet with 59 layers: 2.321e+01
    5. Model dlrmRMC1_m with 6 layers: 1.795e+01
    6. Model alexnet with 5 layers: 2.034e+01
    7. Model transformer with 96 layers: 1.982e+01
    8. Model resnet50 with 53 layers: 2.412e+01
    9. Model wide_resnet50 with 53 layers: 2.250e+01
    10. Model manual with 3 layers: 2.259e+01
    11. Model shufflenet_v2 with 56 layers: 2.142e+01
    12. Model squeezenet with 26 layers: 2.645e+01
    13. Model try with 3 layers: 2.891e+01
    14. Model resnet18 with 20 layers: 2.327e+01
    15. Model vgg16 with 13 layers: 2.397e+01
    16. Model densenet with 160 layers: 2.278e+01
    17. Model T5_m with 6 layers: 1.904e+01
    18. Model resnext50_32x4d with 53 layers: 2.244e+01
    19. Model BERT_m with 6 layers: 1.867e+01
    20. Model ALBERT_m with 5 layers: 2.117e+01

Final result with all models and fixed hardware = 22.415997376184034

71. Using architecture PEs=32, L1=64, L2=128
    1. Model mnasnet with 52 layers: 8.847e+00
    2. Model ncf_m with 12 layers: 1.677e+00
    3. Model mobilenet_v2 with 52 layers: 7.562e+00
    4. Model googlenet with 59 layers: 8.097e+00
    5. Model dlrmRMC1_m with 6 layers: 4.126e+00
    6. Model alexnet with 5 layers: 8.590e+00
    7. Model transformer with 96 layers: 2.515e+00
    8. Model resnet50 with 53 layers: 7.586e+00
    9. Model wide_resnet50 with 53 layers: 8.465e+00
    10. Model manual with 3 layers: 7.039e+00
    11. Model shufflenet_v2 with 56 layers: 8.374e+00
    12. Model squeezenet with 26 layers: 9.454e+00
    13. Model try with 3 layers: 4.152e+00
    14. Model resnet18 with 20 layers: 6.550e+00
    15. Model vgg16 with 13 layers: 7.816e+00
    16. Model densenet with 160 layers: 8.038e+00
    17. Model T5_m with 6 layers: 1.648e+00
    18. Model resnext50_32x4d with 53 layers: 6.718e+00
    19. Model BERT_m with 6 layers: 1.581e+00
    20. Model ALBERT_m with 5 layers: 5.314e+00

Final result with all models and fixed hardware = 7.009361799729365

72. Using architecture PEs=32, L1=64, L2=256
    1. Model mnasnet with 52 layers: 1.401e+01
    2. Model ncf_m with 12 layers: 1.502e+01
    3. Model mobilenet_v2 with 52 layers: 1.585e+01
    4. Model googlenet with 59 layers: 1.559e+01
    5. Model dlrmRMC1_m with 6 layers: 9.156e+00
    6. Model alexnet with 5 layers: 1.728e+01
    7. Model transformer with 96 layers: 1.548e+01
    8. Model resnet50 with 53 layers: 1.500e+01
    9. Model wide_resnet50 with 53 layers: 1.565e+01
    10. Model manual with 3 layers: 1.689e+01
    11. Model shufflenet_v2 with 56 layers: 1.440e+01
    12. Model squeezenet with 26 layers: 1.611e+01
    13. Model try with 3 layers: 1.600e+01
    14. Model resnet18 with 20 layers: 1.542e+01
    15. Model vgg16 with 13 layers: 1.478e+01
    16. Model densenet with 160 layers: 1.481e+01
    17. Model T5_m with 6 layers: 1.199e+01
    18. Model resnext50_32x4d with 53 layers: 1.560e+01
    19. Model BERT_m with 6 layers: 1.600e+01
    20. Model ALBERT_m with 5 layers: 1.410e+01

Final result with all models and fixed hardware = 15.10679994181326

73. Using architecture PEs=32, L1=64, L2=512
    1. Model mnasnet with 52 layers: 1.735e+01
    2. Model ncf_m with 12 layers: 1.344e+01
    3. Model mobilenet_v2 with 52 layers: 1.964e+01
    4. Model googlenet with 59 layers: 1.777e+01
    5. Model dlrmRMC1_m with 6 layers: 1.292e+01
    6. Model alexnet with 5 layers: 1.769e+01
    7. Model transformer with 96 layers: 1.610e+01
    8. Model resnet50 with 53 layers: 1.853e+01
    9. Model wide_resnet50 with 53 layers: 1.826e+01
    10. Model manual with 3 layers: 1.467e+01
    11. Model shufflenet_v2 with 56 layers: 1.676e+01
    12. Model squeezenet with 26 layers: 1.784e+01
    13. Model try with 3 layers: 1.271e+01
    14. Model resnet18 with 20 layers: 1.595e+01
    15. Model vgg16 with 13 layers: 1.769e+01
    16. Model densenet with 160 layers: 1.730e+01
    17. Model T5_m with 6 layers: 1.635e+01
    18. Model resnext50_32x4d with 53 layers: 1.791e+01
    19. Model BERT_m with 6 layers: 1.649e+01
    20. Model ALBERT_m with 5 layers: 1.633e+01

Final result with all models and fixed hardware = 17.35329130852503

74. Using architecture PEs=32, L1=64, L2=1024
    1. Model mnasnet with 52 layers: 2.024e+01
    2. Model ncf_m with 12 layers: 1.680e+01
    3. Model mobilenet_v2 with 52 layers: 2.140e+01
    4. Model googlenet with 59 layers: 2.097e+01
    5. Model dlrmRMC1_m with 6 layers: 2.002e+01
    6. Model alexnet with 5 layers: 1.958e+01
    7. Model transformer with 96 layers: 1.806e+01
    8. Model resnet50 with 53 layers: 2.118e+01
    9. Model wide_resnet50 with 53 layers: 2.243e+01
    10. Model manual with 3 layers: 1.975e+01
    11. Model shufflenet_v2 with 56 layers: 2.072e+01
    12. Model squeezenet with 26 layers: 2.210e+01
    13. Model try with 3 layers: 1.896e+01
    14. Model resnet18 with 20 layers: 2.045e+01
    15. Model vgg16 with 13 layers: 2.153e+01
    16. Model densenet with 160 layers: 2.157e+01
    17. Model T5_m with 6 layers: 2.117e+01
    18. Model resnext50_32x4d with 53 layers: 2.122e+01
    19. Model BERT_m with 6 layers: 2.010e+01
    20. Model ALBERT_m with 5 layers: 1.866e+01

Final result with all models and fixed hardware = 20.73558543978349

75. Using architecture PEs=32, L1=64, L2=2048
    1. Model mnasnet with 52 layers: 2.339e+01
    2. Model ncf_m with 12 layers: 1.868e+01
    3. Model mobilenet_v2 with 52 layers: 2.386e+01
    4. Model googlenet with 59 layers: 2.479e+01
    5. Model dlrmRMC1_m with 6 layers: 1.944e+01
    6. Model alexnet with 5 layers: 2.622e+01
    7. Model transformer with 96 layers: 1.935e+01
    8. Model resnet50 with 53 layers: 2.424e+01
    9. Model wide_resnet50 with 53 layers: 2.436e+01
    10. Model manual with 3 layers: 2.377e+01
    11. Model shufflenet_v2 with 56 layers: 2.157e+01
    12. Model squeezenet with 26 layers: 2.536e+01
    13. Model try with 3 layers: 2.799e+01
    14. Model resnet18 with 20 layers: 2.282e+01
    15. Model vgg16 with 13 layers: 2.542e+01
    16. Model densenet with 160 layers: 2.368e+01
    17. Model T5_m with 6 layers: 2.025e+01
    18. Model resnext50_32x4d with 53 layers: 2.302e+01
    19. Model BERT_m with 6 layers: 1.835e+01
    20. Model ALBERT_m with 5 layers: 2.118e+01

Final result with all models and fixed hardware = 22.978111125845732

76. Using architecture PEs=32, L1=128, L2=128
    1. Model mnasnet with 52 layers: 7.736e+00
    2. Model ncf_m with 12 layers: 2.665e+00
    3. Model mobilenet_v2 with 52 layers: 7.159e+00
    4. Model googlenet with 59 layers: 8.435e+00
    5. Model dlrmRMC1_m with 6 layers: 5.037e+00
